order_id,order_date,year,quarter,month
0,2022-05-04 16:57:33.283411,2022,2,May
1,2021-10-08 13:13:20.822444,2021,4,October
2,2020-10-12 17:56:36.417178,2020,4,October
3,2023-08-11 07:46:02.517470,2023,3,August
4,2020-03-28 23:25:21.550352,2020,1,March
5,2021-11-28 05:32:19.554552,2021,4,November
6,2023-06-24 15:07:52.098450,2023,2,June
7,2023-07-16 02:32:42.263348,2023,3,July
8,2022-10-02 05:45:50.448891,2022,4,October
9,2022-05-03 17:58:38.613998,2022,2,May
10,2020-03-10 18:41:29.689473,2020,1,March
11,2020-06-28 11:48:04.939646,2020,2,June
12,2023-03-11 12:44:58.585548,2023,1,March
13,2021-07-09 00:39:34.330367,2021,3,July
14,2020-09-04 13:21:50.219751,2020,3,September
15,2020-07-07 21:18:45.444454,2020,3,July
16,2021-11-19 20:38:15.666890,2021,4,November
17,2021-06-04 21:41:44.734472,2021,2,June
18,2023-05-21 03:48:18.190291,2023,2,May
19,2020-03-29 18:21:43.817337,2020,1,March
20,2023-12-06 10:33:11.894985,2023,4,December
21,2022-06-06 08:23:07.830142,2022,2,June
22,2023-03-28 11:44:17.259242,2023,1,March
23,2020-02-16 13:10:09.730397,2020,1,February
24,2022-11-08 19:37:19.377941,2022,4,November
25,2021-07-18 22:21:14.751104,2021,3,July
26,2020-11-20 09:30:12.593242,2020,4,November
27,2020-02-06 22:27:28.291819,2020,1,February
28,2020-04-01 14:41:00.259898,2020,2,April
29,2023-05-11 02:55:58.527180,2023,2,May
30,2021-03-20 18:06:10.615270,2021,1,March
31,2021-08-06 13:36:34.616702,2021,3,August
32,2020-10-09 14:42:01.644700,2020,4,October
33,2023-04-09 23:20:03.176111,2023,2,April
34,2022-07-09 12:15:07.565964,2022,3,July
35,2021-09-15 17:29:43.918863,2021,3,September
36,2023-06-11 17:24:44.194436,2023,2,June
37,2021-06-26 11:35:36.433646,2021,2,June
38,2021-04-12 01:10:48.575412,2021,2,April
39,2023-11-18 01:48:20.551213,2023,4,November
40,2020-02-26 13:09:29.040660,2020,1,February
41,2022-11-06 04:12:25.856567,2022,4,November
42,2023-02-27 19:08:16.633529,2023,1,February
43,2023-03-06 02:18:31.557749,2023,1,March
44,2020-11-16 08:55:36.365640,2020,4,November
45,2022-08-12 11:39:22.911190,2022,3,August
46,2021-08-18 10:45:33.628887,2021,3,August
47,2020-03-17 10:50:06.965366,2020,1,March
48,2023-12-13 02:18:07.568432,2023,4,December
49,2023-07-19 19:40:32.591836,2023,3,July
50,2023-06-24 13:34:26.880284,2023,2,June
51,2023-04-25 14:38:32.579894,2023,2,April
52,2022-09-11 03:30:54.512646,2022,3,September
53,2020-05-11 09:10:28.993283,2020,2,May
54,2023-04-17 18:07:00.249990,2023,2,April
55,2021-11-17 09:17:56.612403,2021,4,November
56,2021-06-12 20:25:56.210651,2021,2,June
57,2020-06-30 04:28:37.009706,2020,2,June
58,2021-09-03 22:56:36.534902,2021,3,September
59,2020-02-14 10:49:06.901248,2020,1,February
60,2022-10-19 06:44:29.765165,2022,4,October
61,2022-04-19 16:20:17.898026,2022,2,April
62,2023-07-31 05:49:35.567570,2023,3,July
63,2023-02-27 14:13:30.390692,2023,1,February
64,2023-09-04 00:06:56.010681,2023,3,September
65,2022-05-15 19:05:36.623725,2022,2,May
66,2021-11-02 15:00:59.491161,2021,4,November
67,2021-09-06 01:12:10.234104,2021,3,September
68,2023-07-31 15:49:41.816494,2023,3,July
69,2021-09-13 10:53:20.695560,2021,3,September
70,2023-05-01 11:10:48.466687,2023,2,May
71,2021-01-20 05:58:02.532572,2021,1,January
72,2022-07-16 12:45:20.238280,2022,3,July
73,2023-06-07 23:14:50.036350,2023,2,June
74,2021-12-27 20:12:33.226649,2021,4,December
75,2023-10-10 01:41:08.810144,2023,4,October
76,2022-07-08 03:42:59.384505,2022,3,July
77,2023-12-22 18:51:59.043466,2023,4,December
78,2023-05-05 15:28:39.920073,2023,2,May
79,2021-06-15 14:31:01.366858,2021,2,June
80,2023-08-28 02:17:22.351258,2023,3,August
81,2022-08-29 19:06:40.293805,2022,3,August
82,2021-06-22 16:02:44.083677,2021,2,June
83,2021-08-07 10:04:46.145654,2021,3,August
84,2022-08-23 20:46:57.385107,2022,3,August
85,2022-03-16 03:30:12.491475,2022,1,March
86,2020-12-16 21:00:40.248600,2020,4,December
87,2020-04-16 00:22:02.329096,2020,2,April
88,2020-11-04 02:49:01.785426,2020,4,November
89,2021-02-23 00:32:52.386758,2021,1,February
90,2022-03-05 05:52:10.882347,2022,1,March
91,2022-08-25 03:27:07.296477,2022,3,August
92,2020-09-21 18:28:15.203641,2020,3,September
93,2021-10-25 09:12:09.996635,2021,4,October
94,2021-12-20 19:09:06.894147,2021,4,December
95,2023-04-10 01:49:18.447423,2023,2,April
96,2023-10-05 20:34:15.882951,2023,4,October
97,2021-08-20 18:27:13.349923,2021,3,August
98,2023-03-03 13:35:26.978393,2023,1,March
99,2021-04-08 02:58:43.142666,2021,2,April
100,2023-08-01 20:24:12.192885,2023,3,August
101,2020-02-08 08:00:02.919468,2020,1,February
102,2022-05-18 10:15:20.202838,2022,2,May
103,2023-05-15 08:44:19.717613,2023,2,May
104,2020-08-19 06:32:49.396518,2020,3,August
105,2023-05-22 08:12:52.418263,2023,2,May
106,2020-09-11 16:24:26.075678,2020,3,September
107,2022-03-28 18:30:12.066539,2022,1,March
108,2020-11-27 16:54:20.092263,2020,4,November
109,2023-12-16 09:44:19.147876,2023,4,December
110,2021-03-17 16:59:29.841197,2021,1,March
111,2020-11-02 15:01:06.307984,2020,4,November
112,2020-12-12 22:24:36.573283,2020,4,December
113,2023-10-19 01:47:32.001488,2023,4,October
114,2023-02-05 03:38:13.565114,2023,1,February
115,2023-12-09 10:01:17.901031,2023,4,December
116,2020-02-02 15:34:12.401460,2020,1,February
117,2023-07-26 12:47:55.440502,2023,3,July
118,2021-02-03 06:47:53.550322,2021,1,February
119,2023-03-14 21:43:32.067896,2023,1,March
120,2020-11-08 19:08:48.807767,2020,4,November
121,2022-12-26 02:02:07.345098,2022,4,December
122,2021-10-05 11:20:33.296614,2021,4,October
123,2021-12-11 22:47:20.281763,2021,4,December
124,2020-09-30 00:02:15.263565,2020,3,September
125,2022-11-01 18:08:44.706205,2022,4,November
126,2021-03-03 18:35:28.440840,2021,1,March
127,2022-12-03 15:39:44.166581,2022,4,December
128,2022-04-09 02:11:37.229155,2022,2,April
129,2020-06-03 09:38:13.431818,2020,2,June
130,2021-06-16 02:30:26.447662,2021,2,June
131,2023-12-18 10:18:57.321199,2023,4,December
132,2020-06-16 14:16:22.085431,2020,2,June
133,2020-01-16 21:03:46.054105,2020,1,January
134,2023-08-23 13:15:47.426822,2023,3,August
135,2020-10-13 01:11:11.951334,2020,4,October
136,2020-06-02 00:40:06.968703,2020,2,June
137,2023-12-20 22:05:42.806947,2023,4,December
138,2023-11-15 17:35:33.258228,2023,4,November
139,2023-06-04 01:46:19.931353,2023,2,June
140,2022-12-26 02:15:22.066963,2022,4,December
141,2021-11-29 22:13:20.343412,2021,4,November
142,2023-03-06 14:34:04.307098,2023,1,March
143,2021-12-21 11:49:40.742536,2021,4,December
144,2020-04-05 13:46:59.147400,2020,2,April
145,2021-10-28 00:34:51.031540,2021,4,October
146,2020-09-21 12:59:01.219027,2020,3,September
147,2022-01-07 06:22:50.728511,2022,1,January
148,2021-02-26 16:58:43.637891,2021,1,February
149,2021-08-18 02:18:56.463450,2021,3,August
150,2023-08-25 04:47:59.720217,2023,3,August
151,2023-04-14 13:36:50.277627,2023,2,April
152,2022-05-13 10:57:51.529270,2022,2,May
153,2021-04-05 02:20:33.102846,2021,2,April
154,2023-04-18 06:32:19.783191,2023,2,April
155,2021-12-10 06:39:41.312857,2021,4,December
156,2023-02-08 14:25:03.029118,2023,1,February
157,2023-05-09 21:20:02.806422,2023,2,May
158,2023-11-04 10:39:34.315165,2023,4,November
159,2020-03-08 15:37:18.285287,2020,1,March
160,2021-03-24 13:41:08.392136,2021,1,March
161,2022-03-02 21:20:28.255105,2022,1,March
162,2022-01-30 11:38:43.800551,2022,1,January
163,2021-07-21 01:33:17.018686,2021,3,July
164,2023-11-08 05:34:24.966992,2023,4,November
165,2022-10-28 05:55:56.629687,2022,4,October
166,2022-12-21 13:28:44.091077,2022,4,December
167,2022-11-14 13:35:33.757551,2022,4,November
168,2021-01-20 12:32:20.531273,2021,1,January
169,2021-05-17 09:21:49.901708,2021,2,May
170,2020-06-27 15:05:17.524443,2020,2,June
171,2021-07-10 21:22:11.740539,2021,3,July
172,2022-07-07 15:22:54.527158,2022,3,July
173,2022-04-11 06:18:29.572830,2022,2,April
174,2023-09-28 00:34:38.054785,2023,3,September
175,2021-02-22 09:26:47.533127,2021,1,February
176,2022-05-11 04:16:56.641518,2022,2,May
177,2022-08-29 13:31:08.113940,2022,3,August
178,2020-09-02 02:40:47.131705,2020,3,September
179,2023-02-09 19:33:04.478168,2023,1,February
180,2021-04-20 07:04:20.265098,2021,2,April
181,2020-06-01 18:48:26.796761,2020,2,June
182,2021-11-12 18:29:20.819153,2021,4,November
183,2021-03-15 19:45:48.942693,2021,1,March
184,2023-12-03 18:22:00.790226,2023,4,December
185,2023-02-20 13:33:42.366702,2023,1,February
186,2022-01-30 08:45:37.358954,2022,1,January
187,2020-09-26 17:36:19.392866,2020,3,September
188,2022-09-18 12:12:04.048884,2022,3,September
189,2023-04-22 19:33:03.713321,2023,2,April
190,2022-08-04 22:36:48.337367,2022,3,August
191,2022-08-06 10:58:43.955763,2022,3,August
192,2021-09-03 13:11:59.668540,2021,3,September
193,2021-12-19 13:50:45.673419,2021,4,December
194,2020-06-06 04:52:38.326642,2020,2,June
195,2021-06-22 10:50:50.198086,2021,2,June
196,2021-06-14 12:54:44.600371,2021,2,June
197,2023-10-09 01:48:16.263846,2023,4,October
198,2021-07-08 04:23:24.605510,2021,3,July
199,2022-08-28 00:32:17.913309,2022,3,August
