transaction_id,order_id,product_id,customer_id,employee_id,total_sales,quantity,discount
1,111,29,1419,26,281.7,8,0.24
2,115,5,1226,27,94.4,8,0.24
3,103,50,577,23,451.89,8,0.49
4,189,44,348,94,198.66,1,0.32
5,108,43,1167,44,127.01,8,0.36
6,115,28,1046,12,157.34,3,0.43
7,122,95,1021,57,468.37,5,0.33
8,156,79,1558,31,481.53,9,0.38
9,176,11,1888,49,218.83,4,0.38
10,164,29,1470,76,173.36,8,0.31
11,11,93,315,59,485.1,5,0.45
12,29,26,383,78,485.18,9,0.0
13,21,6,297,22,28.29,10,0.26
14,42,84,1736,60,254.13,1,0.47
15,184,52,1685,48,278.12,6,0.01
16,80,93,379,67,498.05,5,0.32
17,2,42,1637,98,343.15,4,0.3
18,162,58,263,79,91.75,9,0.2
19,81,44,1929,86,364.29,5,0.2
20,152,44,1068,96,234.5,1,0.33
21,158,81,919,17,105.27,4,0.26
22,112,20,465,80,245.59,3,0.06
23,175,68,1566,93,489.07,8,0.2
24,155,31,579,53,32.82,9,0.46
25,141,82,429,71,360.7,9,0.32
26,170,12,50,98,421.89,4,0.33
27,66,28,989,9,412.9,8,0.0
28,180,44,890,17,57.44,1,0.04
29,31,100,166,69,301.91,3,0.35
30,37,32,1638,31,186.99,2,0.03
31,131,90,1069,99,188.55,8,0.33
32,136,94,1481,10,487.37,3,0.25
33,44,64,1874,95,191.53,9,0.26
34,124,33,615,26,386.99,6,0.26
35,37,89,588,4,209.34,7,0.27
36,147,44,1898,59,376.88,6,0.17
37,85,67,1271,42,278.07,3,0.38
38,84,63,1971,70,339.82,9,0.09
39,112,62,1517,97,124.21,10,0.28
40,90,24,1542,95,430.29,7,0.4
41,129,57,132,43,52.68,1,0.23
42,65,31,1056,65,366.64,9,0.43
43,160,9,763,69,17.59,5,0.06
44,30,5,1336,31,240.21,4,0.36
45,34,99,907,24,399.21,2,0.01
46,86,56,337,40,402.73,7,0.42
47,64,27,110,67,29.62,1,0.3
48,189,76,1884,56,94.67,9,0.33
49,12,46,1894,87,274.57,9,0.39
50,4,70,1595,37,81.13,7,0.17
51,181,39,1459,89,69.71,6,0.47
52,197,73,391,89,24.72,3,0.31
53,129,44,1213,17,437.16,10,0.37
54,186,70,725,90,438.55,2,0.3
55,179,46,1002,64,132.14,5,0.28
56,21,63,46,14,168.63,4,0.35
57,115,70,1424,73,335.67,5,0.28
58,67,1,1622,21,56.47,7,0.28
59,3,95,750,85,303.3,2,0.27
60,36,23,526,70,212.74,7,0.24
61,76,60,1813,49,275.27,1,0.4
62,123,48,785,17,437.72,4,0.46
63,134,57,327,9,417.53,4,0.48
64,3,95,1779,54,336.67,9,0.39
65,76,20,1564,10,438.44,7,0.13
66,88,36,218,30,323.35,8,0.4
67,52,41,972,25,435.01,5,0.2
68,64,20,737,76,238.71,4,0.05
69,124,27,200,81,230.22,5,0.1
70,154,28,1566,16,374.35,2,0.34
71,98,31,691,34,168.93,9,0.09
72,92,71,1549,11,177.96,10,0.17
73,131,94,1079,80,272.81,4,0.16
74,144,25,1920,90,237.95,4,0.39
75,14,61,1554,93,103.84,5,0.2
76,173,52,396,97,74.55,2,0.29
77,54,42,198,38,206.86,9,0.22
78,147,59,546,37,322.08,3,0.29
79,146,64,941,76,430.76,5,0.46
80,14,24,1982,30,28.3,5,0.11
81,53,73,1300,28,421.14,8,0.0
82,182,8,38,49,471.57,4,0.12
83,124,36,32,15,465.39,4,0.2
84,57,15,1581,78,461.3,10,0.43
85,169,95,1803,95,292.97,5,0.14
86,200,52,1260,83,175.1,9,0.14
87,40,92,3,40,199.9,9,0.33
88,139,61,1346,98,277.45,8,0.45
89,174,13,516,86,263.44,3,0.36
90,176,34,978,80,282.67,1,0.05
91,72,65,1866,16,426.07,9,0.18
92,127,71,1090,45,204.32,9,0.26
93,58,31,227,43,215.45,10,0.47
94,45,81,918,67,120.27,7,0.45
95,145,35,127,19,451.31,3,0.18
96,45,92,1203,83,322.21,6,0.26
97,73,80,115,16,295.98,2,0.04
98,73,10,1140,15,137.75,3,0.4
99,86,28,1343,41,15.56,3,0.34
100,74,35,598,89,149.14,5,0.48
101,14,83,389,22,491.88,9,0.38
102,189,54,986,6,296.51,10,0.14
103,180,74,1996,36,245.03,7,0.08
104,40,20,1646,52,81.92,9,0.02
105,38,58,1224,79,148.6,6,0.0
106,173,5,318,18,206.7,5,0.44
107,27,37,1995,91,218.44,8,0.39
108,81,34,630,41,254.74,2,0.07
109,117,32,617,51,360.78,5,0.37
110,166,63,132,72,10.45,3,0.21
111,29,50,1579,44,317.84,4,0.34
112,86,62,674,56,309.0,4,0.03
113,132,22,1424,7,435.16,9,0.29
114,175,25,1236,1,55.53,6,0.02
115,170,43,328,88,77.8,2,0.42
116,106,35,34,89,103.65,8,0.07
117,194,72,1793,50,240.85,6,0.08
118,107,97,528,9,324.35,1,0.32
119,181,97,1188,4,112.32,9,0.48
120,140,6,1840,36,21.47,3,0.02
121,151,27,866,74,243.94,10,0.39
122,21,27,800,62,135.17,4,0.29
123,87,62,1111,31,318.56,4,0.31
124,133,18,1091,26,93.48,2,0.23
125,23,82,625,17,50.98,3,0.43
126,38,65,624,76,434.52,4,0.22
127,146,87,770,62,314.45,1,0.29
